application_number,filing_date,uspc_class,cpc4,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code
14855591,2015-09-16,706,G06N,deana,,delp,1,AZ,US
09670478,2000-09-26,706,G06F,tom,,schofield,8,CA,US
09670478,2000-09-26,706,G06F,martin,,eggenberger,7,CA,US
09773281,2001-01-31,706,G06F,marvin,,waldman,3,CA,US
09805646,2001-03-13,706,G06F,pat,,neargarder,3,CA,US
09805646,2001-03-13,706,G06F,thomas,a,king,2,CA,US
09834786,2001-04-12,706,B25J,ralph,e,rose,1,CA,US
09852609,2001-05-09,706,G06Q,jean-luc,,marce,4,CA,US
09852609,2001-05-09,706,G06Q,carlos,a,serrano-morales,1,CA,US
09852609,2001-05-09,706,G06Q,david,j,mellor,2,CA,US
09852610,2001-05-09,706,G06Q,david,j,mellor,2,CA,US
09852610,2001-05-09,706,G06Q,jean-luc,m,marce,4,CA,US
09852610,2001-05-09,706,G06Q,carlos,a,serrano-morales,1,CA,US
09854084,2001-05-10,706,G06N,tongwei,,liu,1,CA,US
09854084,2001-05-10,706,G06N,dirk,m,beyer,2,CA,US
09867878,2001-05-29,706,G06T,christopher,d,chaw,1,CA,US
09867878,2001-05-29,706,G06T,orion,,wilson,2,CA,US
09881820,2001-06-15,706,G06Q,patricia,,gongla,3,CA,US
09882581,2001-06-14,706,G06Q,alexandre,,bronstein,1,CA,US
09882581,2001-06-14,706,G06Q,joydip,,das,2,CA,US
09882581,2001-06-14,706,G06Q,alan,h,karp,4,CA,US
09882581,2001-06-14,706,G06Q,sharad,,singhal,3,CA,US
09896036,2001-06-28,706,G06N,evan,randy,kirshenbaum,1,CA,US
09896929,2001-06-29,706,G06N,thomas,p,stockfisch,1,CA,US
09898908,2001-07-03,706,G06N,johannes,wf,majoor,1,CA,US
09905255,2001-07-13,706,G06Q,richard,w,pasternack,2,CA,US
09905255,2001-07-13,706,G06Q,robert,e,dvorak,1,CA,US
09905255,2001-07-13,706,G06Q,ronald,samuel,cope,3,CA,US
09907327,2001-07-16,706,G06F,charles,gregory,nelson,2,CA,US
09907327,2001-07-16,706,G06F,james,benjamin,saxe,1,CA,US
09907542,2001-07-16,706,G08G,john,r,burge,1,CA,US
09908984,2001-07-18,706,G06N,jeremy,,link,2,CA,US
09908984,2001-07-18,706,G06N,lincoln,t,evans-beauchamp,1,CA,US
09916935,2001-07-27,706,H04L,joy,aloysius,thomas,3,CA,US
09924953,2001-08-07,706,G06F,nicholas,,trotta,1,CA,US
09927826,2001-08-10,706,G06N,wade,f,schott,1,CA,US
09935219,2001-08-22,706,G09B,brian,r,beams,1,CA,US
09940365,2001-08-27,706,G06K,alpha,kamchiu,luk,1,CA,US
09945104,2001-08-31,706,H04L,arindam,,samanta,2,CA,US
09945104,2001-08-31,706,H04L,jj,,garcia-luna-aceves,1,CA,US
09945530,2001-08-03,706,G06F,david,,kil,1,CA,US
09945530,2001-08-03,706,G06F,andrew,,bradley,2,CA,US
09948991,2001-09-07,706,G06N,johannes,wf,majoor,1,CA,US
09952753,2001-09-13,706,G06Q,bradley,,ferguson,1,CA,US
09952753,2001-09-13,706,G06Q,gregory,d,clemenson,2,CA,US
09952753,2001-09-13,706,G06Q,jose,miguel,pinillia,3,CA,US
09954755,2001-09-17,706,G06K,henri,jacques,suermondt,1,CA,US
09954755,2001-09-17,706,G06K,tom,elliott,fawcett,2,CA,US
09963971,2001-09-25,706,G06N,ruibo,,wang,1,CA,US
